ID, is_sensor, SCC_ID, pagerank, authority, hub, indegree
Fl, True, 5, 0.08603999389168648, 0.0, 0.3819660091493533, 0
E, False, 0, 0.09571954660324991, 0.3090169916250275, 0.0, 2
I_0, False, 4, 0.09571954660324991, 0.3090169916250275, 5.499831338937009e-09, 2
pi, False, 1, 0.09082596383482561, 2.9663046695145776e-09, 0.0, 1
D, False, 2, 0.09082596383482561, 2.9663046695145776e-09, 0.0, 1
D_0, False, 3, 0.09082596383482561, 2.9663046695145776e-09, 0.0, 1
b, True, 10, 0.08603999389168648, 0.0, 0.6180339853508069, 0
M, False, 8, 0.08926651146220763, 0.1909830039255086, 8.498412798868515e-15, 1
L, False, 9, 0.08926651146220763, 0.1909830039255086, 0.0, 1
F, False, 6, 0.09273500229061757, 6.875360356128236e-15, 0.0, 1
d, False, 7, 0.09273500229061757, 6.875360356128236e-15, 0.0, 1
