SCC_ID, is_root, number_of_nodes, nodes
0, False, 1, X
1, False, 1, D
2, False, 1, Teta
3, False, 1, E
4, False, 1, I
5, False, 1, M_1
6, False, 1, M_2
7, False, 1, M_3
8, False, 1, M_4
9, False, 1, M_5
10, False, 1, M_6
11, False, 1, M_7
12, False, 1, M_8
13, False, 1, M_9
14, False, 1, M_10
15, False, 1, M_11
16, False, 1, DM_1
17, False, 1, DM_2
18, False, 1, DM_3
19, False, 1, DM_4
20, False, 1, DM_5
21, False, 1, DM_6
22, False, 1, DM_7
23, False, 1, DM_8
24, False, 1, DM_9
25, False, 1, DM_10
26, False, 1, DM_11
27, False, 1, LC_1
28, False, 1, LC_2
29, False, 1, LC_3
30, False, 1, LC_4
31, False, 1, LC_5
32, False, 1, LC_6
33, False, 1, LC_7
34, False, 1, LC_8
35, False, 1, LC_9
36, False, 1, LC_10
37, False, 1, LC_11
38, True, 1, F
39, False, 1, Y
40, True, 1, G
